# Time-averaged data for fix 4
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3] c_myRDF[4] c_myRDF[5] c_myRDF[6] c_myRDF[7] c_myRDF[8] c_myRDF[9]
100000 50
1 0.04 0 0 0 0 0 0 0 0
2 0.12 0 0 0 0 0 0 0 0
3 0.2 0 0 0 0 0 0 0 0
4 0.28 0 0 0 0 0 0 0 0
5 0.36 0 0 0 0 0 0 0 0
6 0.44 0 0 0 0 0 0 0 0
7 0.52 0 0 0 0 0 0 0 0
8 0.6 0 0 0 0 0 0 0 0
9 0.68 0 0 0 0 0 0 0 0
10 0.76 0 0 0 0 0 0 0 0
11 0.84 0.00115399 0.0004 0 0 0 0 0.00115399 0.0004
12 0.92 0.526294 0.2192 0.00317508 0.00132 0.00317508 0.00132 0.488962 0.20368
13 1 2.38451 1.39032 1.07001 0.52684 1.07001 0.52684 2.32718 1.34664
14 1.08 2.21208 2.65744 4.31705 2.99972 4.31705 2.99972 2.26027 2.64136
15 1.16 1.32292 3.5316 3.2128 5.12268 3.2128 5.12268 1.3659 3.54392
16 1.24 0.76797 4.11144 1.54696 6.29068 1.54696 6.29068 0.801452 4.14904
17 1.32 0.537379 4.5712 0.786385 6.96348 0.786385 6.96348 0.553275 4.6224
18 1.4 0.453295 5.00744 0.515142 7.45924 0.515142 7.45924 0.45022 5.05568
19 1.48 0.437092 5.47752 0.426938 7.9184 0.426938 7.9184 0.441183 5.53016
20 1.56 0.511461 6.08864 0.449997 8.45608 0.449997 8.45608 0.495726 6.12248
21 1.64 0.688519 6.99784 0.575987 9.21668 0.575987 9.21668 0.655441 6.988
22 1.72 0.968341 8.40432 0.80506 10.386 0.80506 10.386 0.928079 8.336
23 1.8 1.24223 10.3803 1.0532 12.0613 1.0532 12.0613 1.21582 10.27
24 1.88 1.39594 12.8026 1.17054 14.0924 1.17054 14.0924 1.40133 12.7016
25 1.96 1.3958 15.435 1.20271 16.3608 1.20271 16.3608 1.45391 15.4437
26 2.04 1.36406 18.2219 1.23459 18.8831 1.23459 18.8831 1.4112 18.3269
27 2.12 1.30019 21.0907 1.19189 21.513 1.19189 21.513 1.31564 21.2298
28 2.2 1.15282 23.8299 1.02747 23.9543 1.02747 23.9543 1.15231 23.9678
29 2.28 0.930087 26.2035 0.852203 26.1292 0.852203 26.1292 0.916419 26.3065
30 2.36 0.78302 28.3445 0.733997 28.1361 0.733997 28.1361 0.754259 28.3688
31 2.44 0.714127 30.4317 0.716194 30.2293 0.716194 30.2293 0.692558 30.393
32 2.52 0.759171 32.7984 0.784088 32.6737 0.784088 32.6737 0.741593 32.7049
33 2.6 0.871677 35.6911 0.923386 35.738 0.923386 35.738 0.857574 35.5508
34 2.68 1.00812 39.2457 1.0829 39.5562 1.0829 39.5562 1.00679 39.1006
35 2.76 1.11152 43.4022 1.20434 44.0599 1.20434 44.0599 1.12027 43.2899
36 2.84 1.1348 47.8954 1.24272 48.9804 1.24272 48.9804 1.15616 47.8677
37 2.92 1.101 52.5038 1.18521 53.9413 1.18521 53.9413 1.1363 52.6238
38 3 1.05245 57.1537 1.11005 58.8456 1.11005 58.8456 1.06391 57.3243
39 3.08 1.00075 61.8141 1.03162 63.6498 1.03162 63.6498 1.00297 61.995
40 3.16 0.961629 66.5279 0.967145 68.3906 0.967145 68.3906 0.952408 66.6637
41 3.24 0.921669 71.2775 0.91532 73.1075 0.91532 73.1075 0.91577 71.3829
42 3.32 0.900883 76.1521 0.877131 77.8536 0.877131 77.8536 0.882963 76.1605
43 3.4 0.907203 81.3002 0.875906 82.8241 0.875906 82.8241 0.893739 81.2322
44 3.48 0.949446 86.9446 0.912547 88.2492 0.912547 88.2492 0.933863 86.784
45 3.56 1.00781 93.2146 0.976963 94.3272 0.976963 94.3272 1.00026 93.007
46 3.64 1.06598 100.148 1.04544 101.127 1.04544 101.127 1.06728 99.9488
47 3.72 1.10133 107.629 1.08138 108.473 1.08138 108.473 1.11187 107.502
48 3.8 1.09462 115.389 1.08454 116.161 1.08454 116.161 1.12137 115.451
49 3.88 1.06513 123.26 1.05353 123.946 1.05353 123.946 1.07936 123.427
50 3.96 1.01391 131.065 1.01299 131.744 1.01299 131.744 1.02312 131.303
